Time,IE,IT,US,TW,KR
01.01.2021,235.1274651,251.9036978,362.1,429.53,427.1
02.01.2021,285.9049623,238.2395409,378.85,427.85,427.09
03.01.2021,286.838284,251.3482395,359.16,423.38,427.07
04.01.2021,263.6666106,282.2872604,363.53,430.38,427.05
05.01.2021,290.8749832,270.8660248,372.81,430.52,427.03
06.01.2021,380.5068126,269.1005193,357.28,433.94,427.01
07.01.2021,331.9978906,300.5894428,392.58,433.19,426.99
08.01.2021,290.1023266,291.796641,413.93,433.59,426.96
09.01.2021,376.842436,282.7848023,423.12,430.77,426.94
10.01.2021,271.5603714,288.567103,414.2,432.13,426.91
11.01.2021,140.2123935,303.952314,404.57,436.89,426.88
12.01.2021,237.5829734,295.5007634,400.05,432.94,426.85
13.01.2021,225.1824746,269.2790107,379.43,432.82,426.82
14.01.2021,272.6829371,268.0999855,354.27,435.4,426.79
15.01.2021,213.7996682,290.0728758,351.63,435.85,426.76
16.01.2021,138.4146899,251.0363122,374.17,428.85,426.73
17.01.2021,261.5437739,270.4138054,378.89,430.19,426.7
18.01.2021,288.7622088,285.8407519,386.62,430.64,426.67
19.01.2021,200.3868812,300.1788969,372.77,438.37,426.64
20.01.2021,331.0485393,291.34565,376.86,435.01,426.6
21.01.2021,268.453179,278.5571861,369.84,436.99,426.57
22.01.2021,342.121448,244.4376802,381.8,435.55,426.53
23.01.2021,344.5224571,199.6687524,387.09,431.33,426.5
24.01.2021,320.0810091,209.3821671,385.01,430.22,426.47
25.01.2021,353.7321648,239.6626654,381.03,432.45,426.43
26.01.2021,256.9126146,242.796819,379.97,434.29,426.4
27.01.2021,326.5441505,287.353299,398.31,431.92,426.36
28.01.2021,157.2386616,267.936691,390.59,433.35,426.33
29.01.2021,202.1719838,232.8028621,381.58,436.04,426.29
30.01.2021,138.2491421,225.6399236,363.39,435.57,426.26
31.01.2021,169.6485513,228.5573085,358.01,441.51,426.22
01.02.2021,269.63982,279.0081916,407.57,431.08,426.68
02.02.2021,191.1816228,303.9085241,400.59,422.95,426.65
03.02.2021,177.5122906,276.5584231,389.76,429.42,426.62
04.02.2021,295.4400982,287.1833412,364.84,433.49,426.59
05.02.2021,256.9594731,276.8163036,381.92,434.93,418.82
06.02.2021,284.7799736,243.9520769,390.15,432.77,408.98
07.02.2021,95.84447293,222.0102837,423.56,434.99,401.27
08.02.2021,101.4331872,214.2845417,435.16,427.01,423.11
09.02.2021,117.8043379,226.4265324,447.39,432.88,420.97
10.02.2021,191.975586,237.4571578,444.67,439.59,409.95
11.02.2021,75.86060817,250.9976852,443.88,426.57,377.51
12.02.2021,71.02983792,287.1807192,442.82,439.68,365.14
13.02.2021,78.21745537,240.1682904,457.78,436.26,374.15
14.02.2021,90.32832047,206.2520907,449.39,439.36,385.22
15.02.2021,97.25909521,241.6974935,449.07,421.05,419.2
16.02.2021,105.6395828,275.3473324,440.87,429.12,426.27
17.02.2021,127.9146195,284.646412,458.25,426.57,431.26
18.02.2021,135.6940325,293.4381409,457.51,426.41,427.94
19.02.2021,121.0561388,283.6694609,441.59,430.72,413.53
20.02.2021,109.9903538,264.3985768,427.08,436.13,387.73
21.02.2021,153.0837754,258.4200494,396.18,433.05,378.57
22.02.2021,109.2600632,282.1602968,396.18,434.32,402.44
23.02.2021,91.88570892,280.6797975,382.94,427.48,410.65
24.02.2021,142.1324881,266.6013354,350.01,434.97,407.51
25.02.2021,195.5041835,281.0644591,375.67,434.67,418.11
26.02.2021,172.1589643,279.1504769,374.07,426.61,397.66
27.02.2021,295.6772554,250.3562831,374.07,418.44,377.57
28.02.2021,311.1694581,211.4443741,374.07,437.84,372.06
01.03.2021,244.7322942,257.1930839,374.07,444.41,397.45
02.03.2021,338.8101406,265.777308,376.69,434.27,419.93
03.03.2021,381.614687,283.4565349,370.55,446.33,413.25
04.03.2021,372.4786263,271.1310609,370.55,444.8,417.45
05.03.2021,308.4254671,277.5798352,358.3,441.6,404.73
06.03.2021,312.1705109,255.6166796,369.81,431.76,389.45
07.03.2021,376.511285,255.2365097,331.89,434.48,389.19
08.03.2021,274.8141816,290.0702364,331.89,426.86,411.34
09.03.2021,146.7917652,294.506947,331.89,425.45,411.18
10.03.2021,136.140593,253.2343802,312.04,423.33,406.85
11.03.2021,100.3299814,246.5123578,336.2,429.03,405.76
12.03.2021,107.4481604,234.416132,336.2,422.04,411.14
13.03.2021,86.72283272,210.4406947,336.2,415.01,381.15
14.03.2021,87.72788914,203.2926336,336.2,418.16,378.82
15.03.2021,246.0058163,221.4581757,335.96,430.16,418.84
16.03.2021,280.3595115,255.1358826,388.15,428.26,406.21
17.03.2021,294.3248471,257.901576,362.27,429.43,402.78
18.03.2021,286.9081821,284.4228664,341.66,429.96,401.22
19.03.2021,309.9462673,283.2112339,341.66,432.57,396.96
20.03.2021,345.4892987,244.2747209,341.66,432.89,385.38
21.03.2021,388.3536657,211.7659087,341.66,417.95,384.51
22.03.2021,316.7129418,237.3634882,325.86,432.97,419.77
23.03.2021,161.2038089,241.4481733,328.76,436.5,418.53
24.03.2021,173.1529728,257.6127213,324.96,436.34,418.07
25.03.2021,145.5068452,266.7314707,362.96,422.06,414.8
26.03.2021,114.4334287,266.8658544,362.96,427.69,412.56
27.03.2021,110.0789872,246.6313142,340.11,417,400.92
28.03.2021,89.12623597,256.2831394,340.11,422.12,395.78
29.03.2021,99.58892647,267.9641447,340.11,432.5,415.22
30.03.2021,259.0678853,244.7162645,295.96,436.56,409.91
31.03.2021,374.1749103,253.357807,323.23,436.09,399.2
01.04.2021,177.711989,256.3463013,348.18,446.04,396.76
02.04.2021,235.0900785,226.1113686,348.18,431,393.14
03.04.2021,328.1104433,212.396503,348.18,439.19,381.13
04.04.2021,209.8474662,199.2558146,317.51,410.93,376.27
05.04.2021,131.5419254,228.9907101,301.92,418.96,396.05
06.04.2021,228.2561936,210.3991434,299.8,441.27,406.48
07.04.2021,295.0671581,239.7919516,311.82,466.26,412.1
08.04.2021,199.7457442,254.287921,326.17,456.31,412.77
09.04.2021,360.1631591,269.5775972,317.81,460.03,410.08
10.04.2021,330.8069551,255.5459991,324.07,464.86,390.24
11.04.2021,332.0841293,244.9784319,316.3,473.4,389.5
12.04.2021,398.6139929,267.7951293,319.53,469.47,419.65
13.04.2021,437.5053725,247.5666274,331.25,466.04,415.41
14.04.2021,408.7223485,267.6628625,354.64,463.96,414
15.04.2021,337.8956808,283.9893374,354.64,465.62,411.45
16.04.2021,261.7012469,261.1572078,354.64,468.18,405.63
17.04.2021,186.210803,234.9857705,354.64,465.54,381.31
18.04.2021,310.7464955,266.6254431,354.64,461.39,377.63
19.04.2021,340.8737738,285.6847954,342.15,465.15,399.85
20.04.2021,395.0969624,289.711879,345.64,474.72,403.26
21.04.2021,314.4282462,287.2289427,362.74,466.59,404.77
22.04.2021,266.2255576,291.0892496,341.86,472.05,408.96
23.04.2021,223.9765486,254.4038227,337.37,466.99,412.82
24.04.2021,220.189911,217.4084238,349.42,470.86,388.36
25.04.2021,249.4786044,239.8305234,316.55,492.44,388.88
26.04.2021,371.4528475,262.4868541,306.23,476.95,421.34
27.04.2021,256.9452067,277.7062847,316.21,486.23,430.45
28.04.2021,265.50804,279.3488578,349.7,480.83,429.65
29.04.2021,435.0843384,273.8188363,351.7,485.97,428.63
